,index,인원,수료,미수료,수료율,대분류,중분류,소분류
2,아동학대 신고의무자 교육(공공부문 아동학대예방),12651,11423,1001,0.9194301352221507,행정안전부,직무공통,정책
437,혁신적 포용국가 사회정책,12,11,1,0.9166666666666666,행정안전부,직무공통,정책
341,멀티플라이어 리더십,35,32,3,0.9142857142857143,행정안전부,외국어,외국어
37,모두가 행복한 조직 만들기,1648,1471,147,0.9091470951792336,행정안전부,직무공통,정책
36,개인정보보호법의 이해,1737,1550,155,0.9090909090909091,행정안전부,직무공통,정책
440,(집합연계) 치유명상교실,11,10,1,0.9090909090909091,행정안전부,외국어,외국어
14,성인지통계의 이해와 활용,3404,3015,302,0.9089538739825144,행정안전부,직무공통,소양
15,아동학대 예방교육,3308,2868,288,0.908745247148289,행정안전부,직무공통,정책
0,"성희롱,성매매,성폭력,가정폭력예방",16608,14660,1515,0.9063369397217929,행정안전부,직무공통,소양
133,"미리보는 미래, METATREND",279,239,25,0.9053030303030303,행정안전부,직무공통,소양
10,양성평등과 성주류화 패러다임,4355,3824,402,0.9048745858968291,행정안전부,정보화,정보화
1,장애인식개선교육<인식의 새로고침>,12961,11549,1219,0.9045269423558897,행정안전부,직무공통,소양
135,"사람을 움직이는 유일한 방법, 소통과 공감",274,241,26,0.9026217228464419,행정안전부,청렴,청렴
5,안전한 사회를 위한 폭력 예방교육,10159,8701,945,0.9020319303338171,행정안전부,직무공통,소양
20,AI를 활용한 공공서비스 기획,2463,2185,238,0.9017746595130004,행정안전부,직무공통,소양
66,개성이 뚜렷한 직원을 마주하는 방법,895,787,87,0.9004576659038902,행정안전부,정보화,정보화
438,[Mobile 겸용]밀레니얼 마켓 (Gov-MOOC),11,9,1,0.9,행정안전부,정보화,정보화
249,국민 중심의 행정용어 사용,72,62,7,0.8985507246376812,행정안전부,외국어,외국어
129,(MOOC) 소록도의 마리안느와 마가렛을 통해 본 소통과 인권(사회적 가치),297,264,30,0.8979591836734694,행정안전부,직무공통,소양
145,법제실무,253,209,24,0.8969957081545065,행정안전부,직무공통,소양
4,2021년 공직자 안보교육,10536,9213,1072,0.895770539620807,행정안전부,직무공통,정책
106,장애인동료와 함께 일하기,437,374,44,0.8947368421052632,행정안전부,직무공통,안보
176,재난안전과 젠더,169,144,17,0.8944099378881988,행정안전부,직무공통,소양
160,지방도시 공공디자인,200,169,21,0.8894736842105263,행정안전부,직무공통,소양
394,지방정부의 사회적가치 실현과 사회적 경제,19,16,2,0.8888888888888888,행정안전부,직무공통,소양
279,국제조세법,55,48,6,0.8888888888888888,행정안전부,직무공통,소양
361,(MOOC) 이제 디자인 씽킹하라,27,24,3,0.8888888888888888,행정안전부,직무공통,정책
235,(집합연계) 5급승진리더과정(헌법),79,63,8,0.8873239436619719,행정안전부,직무공통,소양
63,행정정보 공동이용,936,789,103,0.8845291479820628,행정안전부,직무공통,재난
255,(MOOC) 한국인의 행복한 마음찾기,70,61,8,0.8840579710144928,행정안전부,직무공통,소양
6,공직자 안보교육,7803,6812,901,0.8831842344094386,행정안전부,직무공통,소양
239,밀레니얼 세대와 함께 일하는 법,77,68,9,0.8831168831168831,행정안전부,사회복지,인권
7,(2020)적극행정의 이해,5551,4724,637,0.8811788845364671,행정안전부,외국어,외국어
182,다문화 가족 복지행정,161,138,19,0.8789808917197452,행정안전부,직무공통,정책
57,다 함께 적극행정,986,842,116,0.8789144050104384,행정안전부,직무공통,소양
311,우리지역의 발전을 위한 산학연협력,42,29,4,0.8787878787878788,행정안전부,직무공통,정책
82,웃다보니 행복하네(웃음으로 소통하라),634,542,75,0.8784440842787682,행정안전부,사회복지,성인지
290,Weekly 비즈니스 키워드,52,43,6,0.8775510204081632,행정안전부,직무공통,소양
294,글로벌시대 공직자의 도전과 대응,50,43,6,0.8775510204081632,행정안전부,직무공통,정책
281,다시 생각하는 공직 그리고 공직가치,54,43,6,0.8775510204081632,행정안전부,직무공통,소양
454,[Mobile 겸용][나말해] 다섯글자 중국어로 쉽게 말하기 Step1 (Gov-MOOC),8,7,1,0.875,행정안전부,직무공통,정책
181,2021 적극행정 추진방안,164,137,20,0.8726114649681529,행정안전부,직무공통,정책
81,리딩으로 리드하라,637,528,78,0.8712871287128713,행정안전부,직무공통,소양
88,[일家양득]나와 내 가족을 위한 행복찾기,560,471,70,0.8706099815157117,행정안전부,직무공통,소양
258,"Focus on, BTS",69,59,9,0.8676470588235294,행정안전부,직무공통,정책
75,정부혁신,707,603,92,0.8676258992805755,행정안전부,사회복지,성인지
136,[Mobile겸용]공직자 안보교육,268,229,35,0.8674242424242424,행정안전부,청렴,청렴
137,네덜란드의 워라밸을 배우다,266,228,35,0.8669201520912547,행정안전부,직무공통,소양
101,내부소통능력 및 국민소통능력 향상,455,384,59,0.8668171557562077,행정안전부,직무공통,정책
